Płeć      ,Wiek ,Ile czasu w tygodniu spędzasz grając w gry komputerowe? ,"Wybierz, które określenia najbardziej odpowiadają twoim ulubiony gatunkom gier:" ,"Gra 1 - Radość" ,"Gra 1 - Złość" ,"Gra 1 - Smutek" ,"Gra 1 - Obrzydenie" ,"Gra 1 - Zaskoczenie" ,"Gra 1 - Strach" ,"Gra 1 (GEQ) - Poczułem/łam się ożywiony/a" ,"Gra 1 (GEQ) - Czułem/łam się źle" ,"Gra 1 (GEQ) - Trudno było mi wrócić do rzeczywistości" ,"Gra 1 (GEQ) - Czułem/łam się winny" ,"Gra 1 (GEQ) - Czułem/łam się zwycięsko" ,"Gra 1 (GEQ) - Uważam, że to strata czasu" ,"Gra 1 (GEQ) - Poczułem/łam się pobudzony" ,"Gra 1 (GEQ) - Czułem/łam się usatysfakcjonowany/na" ,"Gra 1 (GEQ) - Poczułem/łam się zdezorientowany" ,"Gra 1 (GEQ) - Czułem/łam się potężny" ,"Gra 1 (GEQ) - Czułem/łam się zmęczony" ,"Gra 1 (GEQ) - Poczułem/łam żal" ,"Gra 1 (GEQ) - Było mi wstyd" ,"Gra 1 (GEQ) - Czułem/łam się dumny" ,"Gra 1 (GEQ) - Miałem/łam wrażenie, że wróciłem z podróży" ,"Gra 2 - Radość" ,"Gra 2 - Złość" ,"Gra 2 - Smutek" ,"Gra 2 - Obrzydenie" ,"Gra 2 - Zaskoczenie" ,"Gra 2 - Strach" ,"Gra 2 (GEQ) - Poczułem/łam się ożywiony/a" ,"Gra 2 (GEQ) - Czułem/łam się źle" ,"Gra 2 (GEQ) - Trudno było mi wrócić do rzeczywistości" ,"Gra 2 (GEQ) - Czułem/łam się winny" ,"Gra 2 (GEQ) - Czułem/łam się zwycięsko" ,"Gra 2 (GEQ) - Uważam, że to strata czasu" ,"Gra 2 (GEQ) - Poczułem/łam się pobudzony" ,"Gra 2 (GEQ) - Czułem/łam się usatysfakcjonowany/na" ,"Gra 2 (GEQ) - Poczułem/łam się zdezorientowany" ,"Gra 2 (GEQ) - Czułem/łam się potężny" ,"Gra 2 (GEQ) - Czułem/łam się zmęczony" ,"Gra 2 (GEQ) - Poczułem/łam żal" ,"Gra 2 (GEQ) - Było mi wstyd" ,"Gra 2 (GEQ) - Czułem/łam się dumny" ,"Gra 2 (GEQ) - Miałem/łam wrażenie, że wróciłem z podróży"
Mężczyzna ,  22 ,Raczej nie gram w gry komputerowe                       ,RPG                                                                               ,               2 ,              2 ,               2 ,                   2 ,                    2 ,               2 ,Wcale                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Wcale                                    ,Wcale                                      ,Wcale                                      ,Wcale                                                ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Wcale                                                      ,               1 ,              1 ,               1 ,                   1 ,                    1 ,               1 ,Wcale                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Wcale                                    ,Wcale                                      ,Wcale                                      ,Wcale                                                ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Wcale
Kobieta   ,  23 ,2 - 8 godzin w tygodniu                                 ,"Akcja,Przygoda,Platformowa,Symulacja,Puzzle"                                     ,               6 ,              3 ,               1 ,                   1 ,                    5 ,               1 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Ekstremalnie                             ,Wcale                                      ,Średnio                                    ,Mocno                                                ,Wcale                                            ,Mocno                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Ekstremalnie                         ,Lekko                                                      ,               3 ,              6 ,               1 ,                   1 ,                    5 ,               1 ,Wcale                                       ,Lekko                              ,Wcale                                                   ,Wcale                                ,Wcale                                    ,Wcale                                      ,Wcale                                      ,Wcale                                                ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Mocno                         ,Wcale                                ,Wcale
Kobieta   ,  23 ,2 - 8 godzin w tygodniu                                 ,"RPG,FPS,MMO,Puzzle"                                                              ,               5 ,              3 ,               2 ,                   1 ,                    4 ,               3 ,Średnio                                     ,Średnio                            ,Średnio                                                 ,Wcale                                ,Lekko                                    ,Lekko                                      ,Mocno                                      ,Średnio                                              ,Lekko                                            ,Średnio                                ,Średnio                                 ,Lekko                            ,Lekko                         ,Lekko                                ,Średnio                                                    ,               4 ,              4 ,               1 ,                   1 ,                    2 ,               1 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Średnio                                    ,Mocno                                                ,Średnio                                          ,Średnio                                ,Wcale                                   ,Wcale                            ,Wcale                         ,Średnio                              ,Wcale
Mężczyzna ,  21 ,Mniej niż 2 godziny w tygodniu                          ,"RPG,FPS"                                                                         ,               7 ,              1 ,               1 ,                   1 ,                    4 ,               1 ,Mocno                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Ekstremalnie                             ,Wcale                                      ,Średnio                                    ,Ekstremalnie                                         ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Mocno                                ,Wcale                                                      ,               7 ,              1 ,               1 ,                   1 ,                    1 ,               1 ,Mocno                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Mocno                                      ,Mocno                                                ,Wcale                                            ,Średnio                                ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Wcale
Kobieta   ,  26 ,Raczej nie gram w gry komputerowe                       ,"Przygoda,Edukacyjne"                                                             ,               2 ,              2 ,               2 ,                   1 ,                    1 ,               3 ,Średnio                                     ,Lekko                              ,Lekko                                                   ,Mocno                                ,Ekstremalnie                             ,Ekstremalnie                               ,Wcale                                      ,Wcale                                                ,Lekko                                            ,Lekko                                  ,Średnio                                 ,Wcale                            ,Wcale                         ,Wcale                                ,Lekko                                                      ,               5 ,              5 ,               3 ,                   2 ,                    3 ,               2 ,Lekko                                       ,Lekko                              ,Średnio                                                 ,Średnio                              ,Lekko                                    ,Lekko                                      ,Ekstremalnie                               ,Mocno                                                ,Średnio                                          ,Lekko                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Średnio                              ,Ekstremalnie
Kobieta   ,  26 ,Mniej niż 2 godziny w tygodniu                          ,"Akcja,Przygoda,Quiz"                                                             ,               4 ,              6 ,               1 ,                   1 ,                    2 ,               1 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Mocno                                    ,Wcale                                      ,Średnio                                    ,Mocno                                                ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Średnio                              ,Wcale                                                      ,               3 ,              5 ,               1 ,                   1 ,                    5 ,               1 ,Lekko                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Lekko                                      ,Średnio                                              ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Wcale
Mężczyzna ,  26 ,Raczej nie gram w gry komputerowe                       ,"FPS,Akcja,Przygoda"                                                              ,               3 ,              1 ,               1 ,                   1 ,                    1 ,               1 ,Wcale                                       ,Wcale                              ,Wcale                                                   ,Średnio                              ,Średnio                                  ,Wcale                                      ,Wcale                                      ,Lekko                                                ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Wcale                                                      ,               5 ,              1 ,               2 ,                   1 ,                    1 ,               1 ,Mocno                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Mocno                                    ,Wcale                                      ,Średnio                                    ,Średnio                                              ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Mocno                                ,Wcale
Kobieta   ,  27 ,2 - 8 godzin w tygodniu                                 ,"Akcja,Przygoda,Platformowa,Symulacja,Quiz,Edukacyjne"                            ,               5 ,              2 ,               1 ,                   1 ,                    3 ,               3 ,Mocno                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Mocno                                    ,Wcale                                      ,Mocno                                      ,Mocno                                                ,Wcale                                            ,Mocno                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Mocno                                ,Lekko                                                      ,               3 ,              3 ,               1 ,                   1 ,                    4 ,               1 ,Mocno                                       ,Lekko                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Mocno                                      ,Średnio                                              ,Lekko                                            ,Średnio                                ,Wcale                                   ,Lekko                            ,Lekko                         ,Lekko                                ,Wcale
Mężczyzna ,  22 ,Raczej nie gram w gry komputerowe                       ,RPG                                                                               ,               4 ,              2 ,               1 ,                   1 ,                    4 ,               2 ,Lekko                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Średnio                                    ,Średnio                                    ,Mocno                                                ,Wcale                                            ,Lekko                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Mocno                                ,Lekko                                                      ,               2 ,              4 ,               1 ,                   1 ,                    3 ,               1 ,Wcale                                       ,Lekko                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Lekko                                      ,Lekko                                      ,Mocno                                                ,Mocno                                            ,Wcale                                  ,Średnio                                 ,Wcale                            ,Lekko                         ,Mocno                                ,Wcale
Mężczyzna ,  21 ,Raczej nie gram w gry komputerowe                       ,Quiz                                                                              ,               5 ,              2 ,               1 ,                   1 ,                    3 ,               1 ,Wcale                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Mocno                                    ,Średnio                                    ,Wcale                                      ,Ekstremalnie                                         ,Wcale                                            ,Mocno                                  ,Średnio                                 ,Wcale                            ,Wcale                         ,Średnio                              ,Średnio                                                    ,               4 ,              2 ,               1 ,                   2 ,                    5 ,               1 ,Lekko                                       ,Mocno                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Średnio                                    ,Wcale                                                ,Mocno                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Średnio                              ,Wcale
Kobieta   ,  23 ,Mniej niż 2 godziny w tygodniu                          ,"Przygoda,Symulacja"                                                              ,               4 ,              1 ,               2 ,                   1 ,                    5 ,               4 ,Średnio                                     ,Lekko                              ,Wcale                                                   ,Lekko                                ,Średnio                                  ,Lekko                                      ,Wcale                                      ,Lekko                                                ,Lekko                                            ,Średnio                                ,Ekstremalnie                            ,Wcale                            ,Wcale                         ,Mocno                                ,Wcale                                                      ,               2 ,              4 ,               1 ,                   1 ,                    4 ,               2 ,Mocno                                       ,Lekko                              ,Wcale                                                   ,Średnio                              ,Lekko                                    ,Wcale                                      ,Średnio                                    ,Wcale                                                ,Lekko                                            ,Średnio                                ,Wcale                                   ,Lekko                            ,Wcale                         ,Średnio                              ,Lekko
Kobieta   ,  23 ,2 - 8 godzin w tygodniu                                 ,"RPG,Platformowa"                                                                 ,               6 ,              3 ,               1 ,                   3 ,                    6 ,               5 ,Mocno                                       ,Lekko                              ,Wcale                                                   ,Wcale                                ,Mocno                                    ,Wcale                                      ,Ekstremalnie                               ,Ekstremalnie                                         ,Wcale                                            ,Lekko                                  ,Średnio                                 ,Mocno                            ,Wcale                         ,Mocno                                ,Lekko                                                      ,               4 ,              2 ,               3 ,                   1 ,                    3 ,               2 ,Średnio                                     ,Lekko                              ,Wcale                                                   ,Wcale                                ,Lekko                                    ,Lekko                                      ,Lekko                                      ,Ekstremalnie                                         ,Średnio                                          ,Wcale                                  ,Wcale                                   ,Mocno                            ,Lekko                         ,Lekko                                ,Średnio
Kobieta   ,  23 ,2 - 8 godzin w tygodniu                                 ,"RPG,Przygoda,Symulacja,Puzzle"                                                   ,               4 ,              1 ,               1 ,                   1 ,                    2 ,               2 ,Mocno                                       ,Wcale                              ,Wcale                                                   ,Lekko                                ,Mocno                                    ,Średnio                                    ,Wcale                                      ,Mocno                                                ,Lekko                                            ,Średnio                                ,Wcale                                   ,Lekko                            ,Mocno                         ,Średnio                              ,Mocno                                                      ,               2 ,              5 ,               2 ,                   5 ,                    2 ,               1 ,Średnio                                     ,Lekko                              ,Wcale                                                   ,Wcale                                ,Wcale                                    ,Lekko                                      ,Wcale                                      ,Mocno                                                ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Lekko                                ,Mocno
Kobieta   ,  24 ,2 - 8 godzin w tygodniu                                 ,"FPS,Puzzle"                                                                      ,               2 ,              1 ,               1 ,                   1 ,                    1 ,               2 ,Wcale                                       ,Wcale                              ,Lekko                                                   ,Wcale                                ,Średnio                                  ,Mocno                                      ,Średnio                                    ,Wcale                                                ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Lekko                                                      ,               4 ,              1 ,               2 ,                   1 ,                    3 ,               1 ,Wcale                                       ,Mocno                              ,Ekstremalnie                                            ,Wcale                                ,Średnio                                  ,Wcale                                      ,Lekko                                      ,Mocno                                                ,Średnio                                          ,Średnio                                ,Wcale                                   ,Wcale                            ,Lekko                         ,Mocno                                ,Wcale
Mężczyzna ,  21 ,Mniej niż 2 godziny w tygodniu                          ,"RPG,FPS"                                                                         ,               3 ,              1 ,               1 ,                   2 ,                    5 ,               2 ,Wcale                                       ,Lekko                              ,Lekko                                                   ,Lekko                                ,Wcale                                    ,Średnio                                    ,Wcale                                      ,Mocno                                                ,Wcale                                            ,Wcale                                  ,Średnio                                 ,Wcale                            ,Wcale                         ,Mocno                                ,Lekko                                                      ,               5 ,              2 ,               3 ,                   1 ,                    3 ,               1 ,Mocno                                       ,Średnio                            ,Wcale                                                   ,Wcale                                ,Lekko                                    ,Wcale                                      ,Średnio                                    ,Wcale                                                ,Lekko                                            ,Wcale                                  ,Lekko                                   ,Wcale                            ,Wcale                         ,Mocno                                ,Wcale
Mężczyzna ,  32 ,Raczej nie gram w gry komputerowe                       ,RPG                                                                               ,               3 ,              3 ,               2 ,                   1 ,                    4 ,               4 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Lekko                                      ,Mocno                                      ,Średnio                                              ,Wcale                                            ,Lekko                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Średnio                              ,Lekko                                                      ,               4 ,              2 ,               3 ,                   2 ,                    2 ,               1 ,Wcale                                       ,Lekko                              ,Wcale                                                   ,Średnio                              ,Średnio                                  ,Średnio                                    ,Średnio                                    ,Wcale                                                ,Średnio                                          ,Lekko                                  ,Wcale                                   ,Wcale                            ,Lekko                         ,Średnio                              ,Wcale
Mężczyzna ,  21 ,Więcej niż 8 godzin w tygodniu                          ,FPS                                                                               ,               6 ,              2 ,               2 ,                   1 ,                    3 ,               4 ,Wcale                                       ,Lekko                              ,Średnio                                                 ,Wcale                                ,Średnio                                  ,Średnio                                    ,Średnio                                    ,Lekko                                                ,Wcale                                            ,Lekko                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Średnio                              ,Średnio                                                    ,               1 ,              5 ,               1 ,                   1 ,                    1 ,               2 ,Wcale                                       ,Lekko                              ,Średnio                                                 ,Wcale                                ,Lekko                                    ,Wcale                                      ,Wcale                                      ,Ekstremalnie                                         ,Lekko                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Ekstremalnie                         ,Wcale
Mężczyzna ,  21 ,Mniej niż 2 godziny w tygodniu                          ,"RPG,FPS"                                                                         ,               5 ,              1 ,               1 ,                   1 ,                    5 ,               3 ,Wcale                                       ,Lekko                              ,Wcale                                                   ,Wcale                                ,Lekko                                    ,Mocno                                      ,Wcale                                      ,Średnio                                              ,Lekko                                            ,Wcale                                  ,Średnio                                 ,Ekstremalnie                     ,Wcale                         ,Wcale                                ,Wcale                                                      ,               4 ,              1 ,               2 ,                   1 ,                    4 ,               1 ,Wcale                                       ,Średnio                            ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Wcale                                      ,Mocno                                                ,Średnio                                          ,Lekko                                  ,Wcale                                   ,Wcale                            ,Średnio                       ,Lekko                                ,Lekko
Mężczyzna ,  20 ,2 - 8 godzin w tygodniu                                 ,Symulacja                                                                         ,               3 ,              3 ,               3 ,                   3 ,                    3 ,               3 ,Średnio                                     ,Średnio                            ,Średnio                                                 ,Średnio                              ,Średnio                                  ,Średnio                                    ,Średnio                                    ,Średnio                                              ,Średnio                                          ,Średnio                                ,Średnio                                 ,Średnio                          ,Średnio                       ,Średnio                              ,Średnio                                                    ,               2 ,              4 ,               3 ,                   2 ,                    4 ,               3 ,Średnio                                     ,Średnio                            ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Lekko                                      ,Średnio                                    ,Wcale                                                ,Średnio                                          ,Wcale                                  ,Wcale                                   ,Lekko                            ,Lekko                         ,Średnio                              ,Wcale
Mężczyzna ,  21 ,Mniej niż 2 godziny w tygodniu                          ,FPS                                                                               ,               5 ,              1 ,               1 ,                   3 ,                    4 ,               4 ,Ekstremalnie                                ,Lekko                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Mocno                                      ,Wcale                                      ,Lekko                                                ,Lekko                                            ,Lekko                                  ,Lekko                                   ,Lekko                            ,Lekko                         ,Lekko                                ,Wcale                                                      ,               3 ,              5 ,               4 ,                   2 ,                    2 ,               1 ,Lekko                                       ,Średnio                            ,Wcale                                                   ,Mocno                                ,Wcale                                    ,Wcale                                      ,Średnio                                    ,Mocno                                                ,Wcale                                            ,Średnio                                ,Wcale                                   ,Wcale                            ,Lekko                         ,Mocno                                ,Wcale
Mężczyzna ,  20 ,Raczej nie gram w gry komputerowe                       ,"RPG,MMO,Przygoda,Sportowe"                                                       ,               3 ,              4 ,               2 ,                   2 ,                    4 ,               1 ,Wcale                                       ,Wcale                              ,Wcale                                                   ,Lekko                                ,Lekko                                    ,Lekko                                      ,Lekko                                      ,Wcale                                                ,Wcale                                            ,Średnio                                ,Wcale                                   ,Wcale                            ,Wcale                         ,Lekko                                ,Wcale                                                      ,               2 ,              4 ,               1 ,                   1 ,                    5 ,               1 ,Wcale                                       ,Mocno                              ,Wcale                                                   ,Ekstremalnie                         ,Średnio                                  ,Ekstremalnie                               ,Wcale                                      ,Mocno                                                ,Średnio                                          ,Mocno                                  ,Lekko                                   ,Wcale                            ,Lekko                         ,Mocno                                ,Mocno
Kobieta   ,  47 ,Raczej nie gram w gry komputerowe                       ,Puzzle                                                                            ,               3 ,              4 ,               2 ,                   2 ,                    2 ,               2 ,Mocno                                       ,Lekko                              ,Lekko                                                   ,Wcale                                ,Lekko                                    ,Mocno                                      ,Mocno                                      ,Lekko                                                ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Lekko                            ,Wcale                         ,Mocno                                ,Średnio                                                    ,               4 ,              3 ,               5 ,                   2 ,                    4 ,               1 ,Średnio                                     ,Wcale                              ,Średnio                                                 ,Wcale                                ,Wcale                                    ,Średnio                                    ,Lekko                                      ,Lekko                                                ,Mocno                                            ,Średnio                                ,Średnio                                 ,Mocno                            ,Lekko                         ,Wcale                                ,Wcale
Mężczyzna ,  37 ,Mniej niż 2 godziny w tygodniu                          ,"RPG,Akcja,Przygoda"                                                              ,               3 ,              2 ,               2 ,                   2 ,                    3 ,               1 ,Lekko                                       ,Lekko                              ,Średnio                                                 ,Wcale                                ,Mocno                                    ,Mocno                                      ,Średnio                                    ,Ekstremalnie                                         ,Wcale                                            ,Lekko                                  ,Lekko                                   ,Wcale                            ,Wcale                         ,Mocno                                ,Średnio                                                    ,               1 ,              3 ,               2 ,                   4 ,                    6 ,               2 ,Lekko                                       ,Średnio                            ,Mocno                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Lekko                                      ,Lekko                                                ,Wcale                                            ,Średnio                                ,Wcale                                   ,Wcale                            ,Średnio                       ,Lekko                                ,Lekko
Mężczyzna ,  33 ,2 - 8 godzin w tygodniu                                 ,"RPG,FPS,Akcja,Przygoda,Platformowa,Wyścigowe,Sportowe"                           ,               2 ,              2 ,               1 ,                   2 ,                    1 ,               1 ,Średnio                                     ,Wcale                              ,Lekko                                                   ,Wcale                                ,Mocno                                    ,Ekstremalnie                               ,Średnio                                    ,Mocno                                                ,Lekko                                            ,Lekko                                  ,Wcale                                   ,Mocno                            ,Lekko                         ,Wcale                                ,Mocno                                                      ,               2 ,              1 ,               1 ,                   2 ,                    1 ,               1 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Wcale                                      ,Lekko                                                ,Wcale                                            ,Lekko                                  ,Wcale                                   ,Średnio                          ,Wcale                         ,Średnio                              ,Wcale
Mężczyzna ,  17 ,Więcej niż 8 godzin w tygodniu                          ,"RPG,Akcja,Przygoda,Platformowa,Symulacja"                                        ,               5 ,              3 ,               2 ,                   1 ,                    5 ,               2 ,Lekko                                       ,Lekko                              ,Wcale                                                   ,Wcale                                ,Lekko                                    ,Mocno                                      ,Lekko                                      ,Wcale                                                ,Wcale                                            ,Średnio                                ,Średnio                                 ,Średnio                          ,Wcale                         ,Mocno                                ,Wcale                                                      ,               5 ,              1 ,               3 ,                   3 ,                    2 ,               2 ,Średnio                                     ,Lekko                              ,Wcale                                                   ,Średnio                              ,Wcale                                    ,Średnio                                    ,Średnio                                    ,Wcale                                                ,Średnio                                          ,Średnio                                ,Wcale                                   ,Wcale                            ,Wcale                         ,Mocno                                ,Wcale
Mężczyzna ,  16 ,Mniej niż 2 godziny w tygodniu                          ,"Akcja,Przygoda,Wyścigowe,Sportowe"                                               ,               4 ,              2 ,               1 ,                   2 ,                    6 ,               3 ,Średnio                                     ,średnio                            ,Lekko                                                   ,Lekko                                ,Średnio                                  ,Wcale                                      ,Lekko                                      ,Wcale                                                ,Średnio                                          ,Lekko                                  ,Lekko                                   ,Lekko                            ,Lekko                         ,Wcale                                ,Średnio                                                    ,               3 ,              4 ,               2 ,                   1 ,                    4 ,               2 ,Lekko                                       ,Średnio                            ,Lekko                                                   ,Lekko                                ,Wcale                                    ,Lekko                                      ,Mocno                                      ,Wcale                                                ,Wcale                                            ,Lekko                                  ,Lekko                                   ,Lekko                            ,Ekstremalnie                  ,Średnio                              ,Lekko
Mężczyzna ,  23 ,Raczej nie gram w gry komputerowe                       ,"RPG,Akcja,Przygoda"                                                              ,               6 ,              4 ,               1 ,                   1 ,                    1 ,               1 ,Lekko                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Lekko                                    ,Wcale                                      ,Średnio                                    ,Mocno                                                ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Wcale                                                      ,               6 ,              5 ,               1 ,                   1 ,                    1 ,               1 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Średnio                                    ,Średnio                                              ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Wcale
Mężczyzna ,  24 ,Raczej nie gram w gry komputerowe                       ,"FPS,Akcja,Sportowe"                                                              ,               5 ,              1 ,               1 ,                   1 ,                    4 ,               1 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Mocno                                    ,Lekko                                      ,Średnio                                    ,Mocno                                                ,Wcale                                            ,Średnio                                ,Wcale                                   ,Wcale                            ,Wcale                         ,Średnio                              ,Lekko                                                      ,               3 ,              1 ,               1 ,                   1 ,                    5 ,               1 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Lekko                                      ,Mocno                                                ,Wcale                                            ,Lekko                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Średnio                              ,Wcale
Mężczyzna ,  31 ,Raczej nie gram w gry komputerowe                       ,"RPG,FPS,Akcja,Przygoda"                                                          ,               6 ,              1 ,               1 ,                   1 ,                    3 ,               1 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Mocno                                    ,Wcale                                      ,Lekko                                      ,Mocno                                                ,Wcale                                            ,Lekko                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Średnio                              ,Lekko                                                      ,               2 ,              1 ,               1 ,                   1 ,                    4 ,               1 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Lekko                                      ,Średnio                                              ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Mocno                                ,Wcale
Kobieta   ,  23 ,2 - 8 godzin w tygodniu                                 ,"RPG,Przygoda,Platformowa,Symulacja,Puzzle"                                       ,               5 ,              3 ,               1 ,                   1 ,                    3 ,               3 ,Mocno                                       ,Lekko                              ,Wcale                                                   ,Wcale                                ,Wcale                                    ,Wcale                                      ,Wcale                                      ,Wcale                                                ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Wcale                                                      ,               4 ,              3 ,               3 ,                   1 ,                    1 ,               3 ,Lekko                                       ,Wcale                              ,Lekko                                                   ,Wcale                                ,Mocno                                    ,Lekko                                      ,Lekko                                      ,Średnio                                              ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Wcale